project_name,lifecycle,business_unit,use_case,description,stages,services
HealthcareDataInteroperabilityHub,growing,Pharma,Enterprise Integration,"Interoperability platform connecting healthcare systems via FHIR, HL7, DICOM with real-time transforms, API management, and secure patient data exchange.","pharma-prod, pharma-research","APIGateway, AppSync, Lambda, DynamoDB, EC2, ECS, SNS, SQS, S3, ElasticSearch, CloudWatchLogs, KMS, StepFunctions, HealthLake"
FeatureRolloutManager,just_started,SoftwareSolutions,Software Solutions,"System to manage and control the rollout of new features to SaaS customers, enabling gradual releases and A/B testing.",softwaresolutions-dev,"Lambda, DynamoDB, APIGateway, StepFunctions, EventBridge, SNS, SQS, CloudWatchLogs"
GlobalECommerceInfrastructure,steady_state,SupplyChain,Enterprise Applications,"High-volume, global e-commerce platform handling millions of transactions daily with 99.99% availability across multiple regions and dynamic scaling during peak seasons.","supplychain-prod, supplychain-staging","EC2, RDS, DynamoDB, ElastiCache, CloudFront, Route53, S3, ECS, SNS, SQS, APIGateway, Lambda, CloudWatchLogs, CloudWatch, WAF, ShieldAdvanced, IAM, KMS"
OmniChannelCustomerExperience,peak_and_plateau,SoftwareSolutions,Enterprise Applications,"Global, multi-channel customer experience platform handling web, mobile, in-store, and call center interactions with a unified customer view and personalization.","softwaresolutions-prod, softwaresolutions-staging","EC2, ECS, RDS, DynamoDB, ElastiCache, Lambda, APIGateway, CloudFront, Route53, S3, SQS, SNS, Cognito, CloudWatchLogs, XRay, WAF"
SmartFactoryIoTPlatform,growing,Manufacturing,Enterprise Integration,"Comprehensive smart factory platform connecting 100,000+ industrial sensors and controllers with real-time monitoring, digital twins, and predictive capabilities.","manufacturing-iot, manufacturing-prod, manufacturing-analytics","IoT, IoTSiteWise, KinesisDataStreams, Timestream, S3, Lambda, DynamoDB, SNS, SageMaker, CloudWatchLogs, QuickSight, EC2, EKS"
GlobalPaymentProcessingPlatform,steady_state,SoftwareSolutions,Enterprise Applications,High-throughput payment processing platform handling millions of transactions daily across 30+ countries with stringent security and compliance requirements.,"softwaresolutions-prod, softwaresolutions-staging, compliance","EC2, RDS, DynamoDB, ElastiCache, Lambda, StepFunctions, SQS, KMS, CloudHSM, WAF, CloudWatchLogs, CloudTrail, Config"
DataPrivacyCompliancePlatform,growing,Core,"Audit, Security and Compliance","Enterprise platform for managing data privacy compliance across GDPR, CCPA, and other regulations with data discovery, consent management, and DSR handling.","security, compliance, softwaresolutions-customerdata","Macie, Glue, Athena, S3, Lambda, StepFunctions, DynamoDB, APIGateway, CloudWatchLogs, CloudTrail, KMS, Config, AuditManager"
ClinicalTrialsManagementPlatform,growing,Pharma,Enterprise Applications,"Global platform for managing multi-center clinical trials with patient engagement, real-time monitoring, regulatory compliance, and data security.","pharma-prod, pharma-research, compliance","EC2, RDS, DynamoDB, S3, Lambda, APIGateway, Cognito, CloudFront, CloudWatchLogs, KMS, CloudTrail, Config, AuditManager"
GlobalCICDPlatform,peak_and_plateau,Core,Developer Tools,"Enterprise-wide CI/CD platform handling 5000+ daily builds across 200+ teams with automated testing, security scanning, and global artifact distribution.",shared-services,"CodePipeline, CodeBuild, CodeDeploy, EC2, ECS, EKS, S3, CloudFront, Lambda, CloudWatchLogs, CloudTrail, KMS, EventBridge, SNS"
GlobalDataLakehouse,growing,Core,Data Processing and ETL,"Enterprise-wide data lakehouse platform integrating structured and unstructured data across all business units, with centralized governance, ML-ready datasets, and self-service analytics.","shared-services, ml-featurestore","S3, Glue, Athena, LakeFormation, EMR, Redshift, QuickSight, Lambda, StepFunctions, CloudWatchLogs, IAMIdentityCenter, KMS, CloudTrail"
RegulatoryReportingDataWarehouse,steady_state,Pharma,"Audit, Security and Compliance","Centralized regulatory reporting platform integrating financial, risk, and compliance data with point-in-time recovery and full audit trails for financial regulations.","compliance, pharma-prod","Redshift, S3, Glue, Athena, QuickSight, Lambda, StepFunctions, CloudWatchLogs, CloudTrail, Backup, KMS, Config, AuditManager"
